,x,y,id,E,Se,N,Sn,U,Su,lon,lat
0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
1,1000.0,0.0,0,0,0,0,0,0,0,1.0,0.0
2,2000.0,0.0,0,0,0,0,0,0,0,2.0,0.0
3,3000.0,0.0,0,0,0,0,0,0,0,3.0,0.0
4,4000.0,0.0,0,0,0,0,0,0,0,4.0,0.0
5,5000.0,0.0,0,0,0,0,0,0,0,5.0,0.0
6,6000.0,0.0,0,0,0,0,0,0,0,6.0,0.0
7,7000.0,0.0,0,0,0,0,0,0,0,7.0,0.0
8,8000.0,0.0,0,0,0,0,0,0,0,8.0,0.0
9,9000.0,0.0,0,0,0,0,0,0,0,9.0,0.0
10,10000.0,0.0,0,0,0,0,0,0,0,10.0,0.0
11,11000.0,0.0,0,0,0,0,0,0,0,11.0,0.0
12,12000.0,0.0,0,0,0,0,0,0,0,12.0,0.0
13,13000.0,0.0,0,0,0,0,0,0,0,13.0,0.0
14,14000.0,0.0,0,0,0,0,0,0,0,14.0,0.0
15,15000.0,0.0,0,0,0,0,0,0,0,15.0,0.0
16,16000.0,0.0,0,0,0,0,0,0,0,16.0,0.0
17,17000.0,0.0,0,0,0,0,0,0,0,17.0,0.0
18,18000.0,0.0,0,0,0,0,0,0,0,18.0,0.0
19,19000.0,0.0,0,0,0,0,0,0,0,19.0,0.0
20,20000.0,0.0,0,0,0,0,0,0,0,20.0,0.0
21,21000.0,0.0,0,0,0,0,0,0,0,21.0,0.0
22,22000.0,0.0,0,0,0,0,0,0,0,22.0,0.0
23,23000.0,0.0,0,0,0,0,0,0,0,23.0,0.0
24,24000.0,0.0,0,0,0,0,0,0,0,24.0,0.0
25,25000.0,0.0,0,0,0,0,0,0,0,25.0,0.0
26,26000.0,0.0,0,0,0,0,0,0,0,26.0,0.0
27,27000.0,0.0,0,0,0,0,0,0,0,27.0,0.0
28,28000.0,0.0,0,0,0,0,0,0,0,28.0,0.0
29,29000.0,0.0,0,0,0,0,0,0,0,29.0,0.0
30,30000.0,0.0,0,0,0,0,0,0,0,30.0,0.0
31,31000.0,0.0,0,0,0,0,0,0,0,31.0,0.0
32,32000.0,0.0,0,0,0,0,0,0,0,32.0,0.0
33,33000.0,0.0,0,0,0,0,0,0,0,33.0,0.0
34,34000.0,0.0,0,0,0,0,0,0,0,34.0,0.0
35,35000.0,0.0,0,0,0,0,0,0,0,35.0,0.0
36,36000.0,0.0,0,0,0,0,0,0,0,36.0,0.0
37,37000.0,0.0,0,0,0,0,0,0,0,37.0,0.0
38,38000.0,0.0,0,0,0,0,0,0,0,38.0,0.0
39,39000.0,0.0,0,0,0,0,0,0,0,39.0,0.0
40,40000.0,0.0,0,0,0,0,0,0,0,40.0,0.0
41,41000.0,0.0,0,0,0,0,0,0,0,41.0,0.0
42,42000.0,0.0,0,0,0,0,0,0,0,42.0,0.0
43,43000.0,0.0,0,0,0,0,0,0,0,43.0,0.0
44,44000.0,0.0,0,0,0,0,0,0,0,44.0,0.0
45,45000.0,0.0,0,0,0,0,0,0,0,45.0,0.0
46,46000.0,0.0,0,0,0,0,0,0,0,46.0,0.0
47,47000.0,0.0,0,0,0,0,0,0,0,47.0,0.0
48,48000.0,0.0,0,0,0,0,0,0,0,48.0,0.0
49,49000.0,0.0,0,0,0,0,0,0,0,49.0,0.0
50,50000.0,0.0,0,0,0,0,0,0,0,50.0,0.0
51,51000.0,0.0,0,0,0,0,0,0,0,51.0,0.0
52,52000.0,0.0,0,0,0,0,0,0,0,52.0,0.0
53,53000.0,0.0,0,0,0,0,0,0,0,53.0,0.0
54,54000.0,0.0,0,0,0,0,0,0,0,54.0,0.0
55,55000.0,0.0,0,0,0,0,0,0,0,55.0,0.0
56,56000.0,0.0,0,0,0,0,0,0,0,56.0,0.0
57,57000.0,0.0,0,0,0,0,0,0,0,57.0,0.0
58,58000.0,0.0,0,0,0,0,0,0,0,58.0,0.0
59,59000.0,0.0,0,0,0,0,0,0,0,59.0,0.0
60,60000.0,0.0,0,0,0,0,0,0,0,60.0,0.0
61,61000.0,0.0,0,0,0,0,0,0,0,61.0,0.0
62,62000.0,0.0,0,0,0,0,0,0,0,62.0,0.0
63,63000.0,0.0,0,0,0,0,0,0,0,63.0,0.0
64,64000.0,0.0,0,0,0,0,0,0,0,64.0,0.0
65,65000.0,0.0,0,0,0,0,0,0,0,65.0,0.0
66,66000.0,0.0,0,0,0,0,0,0,0,66.0,0.0
67,67000.0,0.0,0,0,0,0,0,0,0,67.0,0.0
68,68000.0,0.0,0,0,0,0,0,0,0,68.0,0.0
69,69000.0,0.0,0,0,0,0,0,0,0,69.0,0.0
70,70000.0,0.0,0,0,0,0,0,0,0,70.0,0.0
71,71000.0,0.0,0,0,0,0,0,0,0,71.0,0.0
72,72000.0,0.0,0,0,0,0,0,0,0,72.0,0.0
73,73000.0,0.0,0,0,0,0,0,0,0,73.0,0.0
74,74000.0,0.0,0,0,0,0,0,0,0,74.0,0.0
75,75000.0,0.0,0,0,0,0,0,0,0,75.0,0.0
76,76000.0,0.0,0,0,0,0,0,0,0,76.0,0.0
77,77000.0,0.0,0,0,0,0,0,0,0,77.0,0.0
78,78000.0,0.0,0,0,0,0,0,0,0,78.0,0.0
79,79000.0,0.0,0,0,0,0,0,0,0,79.0,0.0
80,80000.0,0.0,0,0,0,0,0,0,0,80.0,0.0
81,81000.0,0.0,0,0,0,0,0,0,0,81.0,0.0
82,82000.0,0.0,0,0,0,0,0,0,0,82.0,0.0
83,83000.0,0.0,0,0,0,0,0,0,0,83.0,0.0
84,84000.0,0.0,0,0,0,0,0,0,0,84.0,0.0
85,85000.0,0.0,0,0,0,0,0,0,0,85.0,0.0
86,86000.0,0.0,0,0,0,0,0,0,0,86.0,0.0
87,87000.0,0.0,0,0,0,0,0,0,0,87.0,0.0
88,88000.0,0.0,0,0,0,0,0,0,0,88.0,0.0
89,89000.0,0.0,0,0,0,0,0,0,0,89.0,0.0
90,90000.0,0.0,0,0,0,0,0,0,0,90.0,0.0
91,91000.0,0.0,0,0,0,0,0,0,0,91.0,0.0
92,92000.0,0.0,0,0,0,0,0,0,0,92.0,0.0
93,93000.0,0.0,0,0,0,0,0,0,0,93.0,0.0
94,94000.0,0.0,0,0,0,0,0,0,0,94.0,0.0
95,95000.0,0.0,0,0,0,0,0,0,0,95.0,0.0
96,96000.0,0.0,0,0,0,0,0,0,0,96.0,0.0
